DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
EMS,GUARDIAN AIR MEDICAL,N409GA,ANGEL08,HELICOPTER,B407,A4CEA7,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,GUARDIAN AIR MEDICAL,N420GA,ANGEL06,HELICOPTER,B407,A4FC36,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N145TN,SKYLIFE H2,HELICOPTER,B430,A524E8,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N445SL,SKYLIFE H1,HELICOPTER,B407,A55ECB,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N509CF,MERCY08,HELICOPTER,AW09,A65B97,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N579AM,MERCY34,HELICOPTER,EC35,A76FE4,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N586AM,MERCY02,HELICOPTER,EC35,A78C3E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N694AM,MERCY66,HELICOPTER,B407,A9399E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,GUARDIAN AIR MEDICAL,N712GA,ANGEL07,HELICOPTER,B407,A98412,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N738AM,MERCY14,HELICOPTER,EC35,A9E8CF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N832CS,CALSTAR7,HELICOPTER,,AB600B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N833CS,CALSTAR13,HELICOPTER,,AB63C2,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N834CS,CALSTAR14,HELICOPTER,,AB6779,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N838CS,CALSTAR8,HELICOPTER,,AB7655,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N839CS,CALSTAR5,HELICOPTER,,AB7A0C,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N890CS,CALSTAR6,HELICOPTER,,AC4597,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N891CS,CALSTAR3,HELICOPTER,,AC494E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N892CS,CALSTAR4,HELICOPTER,,AC4D05,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,CALSTAR,N893CS,CALSTAR12,HELICOPTER,,AC50BC,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,Air Methods,N4282,NATIVE20,HELICOPTER,AS-350-B3,A51BF5,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,PHI HEALTH,N151AE,AIREVAC17,HELICOPTER,AS-350-B3,A0CDEB,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,PHI HEALTH,N341P,AIREVAC07,HELICOPTER,AS-350-B3,A3C24A,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,PHI HEALTH,N392P,AIREVAC32,HELICOPTER,AS-350-B3,A48B7C,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,PHI HEALTH,N382P,AIREVAC06,HELICOPTER,AS-350-B3,A463FD,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,PHI,N973AE,AIREVAC04,HELICOPTER,,AD8ECF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,ERA AIR,N113CV,N113CV-ERA SAR,HELICOPTER,AW39,A0379E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,ERA AIR,N804CB,N804CB-ERA SAR,HELICOPTER,AW39,AAF0ED,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,ERA AIR,N808FG,N808FG-ERA SAR,HELICOPTER,AW39,AB0019,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,ERA AIR,N385RH,N385RH-ERA SAR,HELICOPTER,AW39,A46F5C,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,INTERMOUNTAIN LIFE FLIGHT,N281HC,N281HC-INTERMTN,,AW09,A2D264,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
EMS,INTERMOUNTAIN LIFE FLIGHT,N271HC,N271HC-INTERMTN,,AW09,A2AAE5,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR_RESCUE.png,,,,
